SeqName,Description
TCAL_06061-PA,Similar to mecom-b MDS1 and EVI1 complex locus protein EVI1-B (Xenopus laevis)
TCAL_03396-PA,Similar to MED10 Mediator of RNA polymerase II transcription subunit 10 (Aedes aegypti)
TCAL_09796-PA,Similar to MED14 Mediator of RNA polymerase II transcription subunit 14 (Aedes aegypti)
TCAL_14058-PA,Similar to MED27 Mediator of RNA polymerase II transcription subunit 27 (Anopheles gambiae)
TCAL_02817-PA,Similar to MED31 Mediator of RNA polymerase II transcription subunit 31 (Drosophila melanogaster)
TCAL_04744-PA,Similar to MED36B Probable mediator of RNA polymerase II transcription subunit 36b (Arabidopsis thaliana)
TCAL_01407-PA,Similar to MED6 Mediator of RNA polymerase II transcription subunit 6 (Anopheles gambiae)
TCAL_09916-PA,Similar to MED7 Mediator of RNA polymerase II transcription subunit 7 (Anopheles gambiae)
TCAL_03950-PA,Similar to MED8 Mediator of RNA polymerase II transcription subunit 8 (Anopheles gambiae)
TCAL_14690-PA,Similar to Mef2 Myocyte-specific enhancer factor 2 (Drosophila melanogaster)
TCAL_12110-PA,Similar to mef2d Myocyte-specific enhancer factor 2D homolog (Xenopus laevis)
TCAL_03248-PA,Similar to meigo Solute carrier family 35 member B1 homolog (Drosophila melanogaster)
TCAL_08671-PA,Similar to melk Maternal embryonic leucine zipper kinase (Xenopus tropicalis)
TCAL_00523-PA,Similar to MELTF Melanotransferrin (Homo sapiens)
TCAL_09118-PA,Similar to memo1 Protein MEMO1 (Xenopus laevis)
TCAL_15092-PA,Similar to meox2 Homeobox protein MOX-2 (Xenopus laevis)
TCAL_06230-PA,Similar to Mep1b Meprin A subunit beta (Mus musculus)
TCAL_15287-PA,Similar to Mep1b Meprin A subunit beta (Mus musculus)
TCAL_06506-PA,Similar to met14 Adenylyl-sulfate kinase (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
TCAL_00541-PA,"Similar to metap1d Methionine aminopeptidase 1D, mitochondrial (Danio rerio)"
TCAL_04601-PA,"Similar to metap1d Methionine aminopeptidase 1D, mitochondrial (Danio rerio)"
TCAL_04967-PA,Similar to METAP2 Methionine aminopeptidase 2 (Bos taurus)
TCAL_00992-PA,Similar to METTL15 Probable methyltransferase-like protein 15 (Bos taurus)
TCAL_12661-PA,Similar to Mettl16 U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase (Mus musculus)
TCAL_07895-PA,Similar to Mettl22 Methyltransferase-like protein 22 (Mus musculus)
TCAL_09751-PA,Similar to mettl23 Methyltransferase-like protein 23 (Xenopus laevis)
TCAL_07040-PA,Similar to METTL27 Methyltransferase-like protein 27 (Homo sapiens)
TCAL_08330-PA,Similar to METTL3 N6-adenosine-methyltransferase 70 kDa subunit (Homo sapiens)
TCAL_07599-PA,Similar to METTL7A Methyltransferase-like protein 7A (Homo sapiens)
TCAL_06649-PA,Similar to mew Integrin alpha-PS1 (Drosophila melanogaster)
TCAL_10896-PA,Similar to mew Integrin alpha-PS1 (Drosophila melanogaster)
TCAL_00758-PA,Similar to MFGE8 Lactadherin (Homo sapiens)
TCAL_09546-PA,Similar to Mfsd10 Major facilitator superfamily domain-containing protein 10 (Mus musculus)
TCAL_01269-PA,Similar to MFSD11 UNC93-like protein MFSD11 (Pongo abelii)
TCAL_07120-PA,"Similar to MGAM Maltase-glucoamylase, intestinal (Homo sapiens)"
TCAL_13543-PA,"Similar to MGAT4A Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (Pongo abelii)"
TCAL_05771-PA,"Similar to Mgat4c Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C (Mus musculus)"
TCAL_06232-PA,Similar to mGluR Metabotropic glutamate receptor (Drosophila melanogaster)
TCAL_07347-PA,Similar to mGluR Metabotropic glutamate receptor (Drosophila melanogaster)
TCAL_17218-PA,Similar to mGluR Metabotropic glutamate receptor (Drosophila melanogaster)
TCAL_07111-PA,Similar to Mgmt Methylated-DNA--protein-cysteine methyltransferase (Rattus norvegicus)
TCAL_01857-PA,"Similar to Mhc Myosin heavy chain, muscle (Drosophila melanogaster)"
TCAL_02474-PA,"Similar to Mhc Myosin heavy chain, muscle (Drosophila melanogaster)"
TCAL_03006-PA,"Similar to Mhc Myosin heavy chain, muscle (Drosophila melanogaster)"
TCAL_05232-PA,"Similar to Mhc Myosin heavy chain, muscle (Drosophila melanogaster)"
TCAL_07484-PA,"Similar to Mhc Myosin heavy chain, muscle (Drosophila melanogaster)"
TCAL_07485-PA,"Similar to Mhc Myosin heavy chain, muscle (Drosophila melanogaster)"
TCAL_09345-PA,"Similar to Mhc Myosin heavy chain, muscle (Drosophila melanogaster)"
TCAL_10574-PA,"Similar to Mhc Myosin heavy chain, muscle (Drosophila melanogaster)"
TCAL_14067-PA,"Similar to Mhc Myosin heavy chain, muscle (Drosophila melanogaster)"
TCAL_16488-PA,"Similar to Mhc Myosin heavy chain, muscle (Drosophila melanogaster)"
TCAL_09745-PA,Similar to Mi-2 Chromodomain-helicase-DNA-binding protein Mi-2 homolog (Drosophila melanogaster)
TCAL_08414-PA,Similar to MIB1 E3 ubiquitin-protein ligase MIB1 (Homo sapiens)
TCAL_08416-PA,Similar to mib1 E3 ubiquitin-protein ligase mib1 (Xenopus laevis)
TCAL_11037-PA,Similar to MIB2 E3 ubiquitin-protein ligase MIB2 (Gallus gallus)
TCAL_07854-PA,Similar to Mical [F-actin]-methionine sulfoxide oxidase Mical (Drosophila melanogaster)
TCAL_17269-PA,Similar to mical3a Protein-methionine sulfoxide oxidase mical3a (Danio rerio)
TCAL_14449-PA,Similar to Micall1 MICAL-like protein 1 (Rattus norvegicus)
TCAL_06865-PA,Similar to MICALL2 MICAL-like protein 2 (Homo sapiens)
TCAL_08930-PA,"Similar to MICU3 Calcium uptake protein 3, mitochondrial (Homo sapiens)"
TCAL_10324-PA,Similar to Mier3 Mesoderm induction early response protein 3 (Mus musculus)
TCAL_09617-PA,Similar to mig-15 Serine/threonine-protein kinase mig-15 (Caenorhabditis elegans)
TCAL_03701-PA,Similar to mig-6 Papilin (Caenorhabditis elegans)
TCAL_05435-PA,Similar to mig-6 Papilin (Caenorhabditis elegans)
TCAL_12836-PA,Similar to MIMI_R196 Collagen-like protein 2 (Acanthamoeba polyphaga mimivirus)
TCAL_09687-PA,Similar to MIOX Inositol oxygenase (Bos taurus)
TCAL_00516-PA,Similar to MIPEP Mitochondrial intermediate peptidase (Homo sapiens)
TCAL_08636-PA,Similar to Miro Mitochondrial Rho GTPase (Drosophila melanogaster)
TCAL_10011-PA,Similar to Mitf Microphthalmia-associated transcription factor (Rattus norvegicus)
TCAL_14312-PA,Similar to Mitofilin MICOS complex subunit Mic60 (Drosophila melanogaster)
TCAL_10787-PA,Similar to MJ0211 Putative UDP-glucose 4-epimerase (Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440))
TCAL_01677-PA,Similar to Mknk1 MAP kinase-interacting serine/threonine-protein kinase 1 (Mus musculus)
TCAL_03807-PA,Similar to MKP-4 Dual specificity protein phosphatase MPK-4 (Drosophila melanogaster)
TCAL_06766-PA,Similar to MKP-4 Dual specificity protein phosphatase MPK-4 (Drosophila melanogaster)
TCAL_11375-PA,Similar to MKRN1 E3 ubiquitin-protein ligase makorin-1 (Macropus eugenii)
TCAL_07974-PA,Similar to MKX Homeobox protein Mohawk (Homo sapiens)
TCAL_05972-PA,Similar to Mlc-c Myosin-2 essential light chain (Drosophila melanogaster)
TCAL_13626-PA,Similar to Mlc-c Myosin-2 essential light chain (Drosophila melanogaster)
TCAL_05635-PA,Similar to Mlc1 Myosin light chain alkali (Drosophila simulans)
TCAL_10061-PA,Similar to Mlc2 Myosin regulatory light chain 2 (Drosophila melanogaster)
TCAL_06042-PA,Similar to mle Dosage compensation regulator (Drosophila melanogaster)
TCAL_10900-PA,Similar to MLH1 DNA mismatch repair protein Mlh1 (Homo sapiens)
TCAL_11996-PA,Similar to MLH3 DNA mismatch repair protein Mlh3 (Homo sapiens)
TCAL_06604-PA,Similar to Mllt10 Protein AF-10 (Mus musculus)
TCAL_02229-PA,Similar to Mlp84B Muscle LIM protein Mlp84B (Drosophila melanogaster)
TCAL_06700-PA,Similar to Mlp84B Muscle LIM protein Mlp84B (Drosophila melanogaster)
TCAL_09909-PA,Similar to Mlp84B Muscle LIM protein Mlp84B (Drosophila melanogaster)
TCAL_03584-PA,Similar to mlst8 Target of rapamycin complex subunit lst8 (Danio rerio)
TCAL_05674-PA,Similar to MM_0045 Putative ankyrin repeat protein MM_0045 (Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88))
TCAL_02988-PA,Similar to MM_2675 Uncharacterized serpin-like protein MM_2675 (Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88))
TCAL_13342-PA,"Similar to Mmaa Methylmalonic aciduria type A homolog, mitochondrial (Mus musculus)"
TCAL_08138-PA,Similar to MME Neprilysin (Pongo abelii)
TCAL_12781-PA,Similar to Mme Neprilysin (Rattus norvegicus)
TCAL_03874-PA,Similar to MMEL1 Membrane metallo-endopeptidase-like 1 (Homo sapiens)
TCAL_06071-PA,Similar to MMEL1 Membrane metallo-endopeptidase-like 1 (Homo sapiens)
TCAL_06186-PA,Similar to MMEL1 Membrane metallo-endopeptidase-like 1 (Homo sapiens)
TCAL_07539-PA,Similar to MMEL1 Membrane metallo-endopeptidase-like 1 (Homo sapiens)
TCAL_09039-PA,Similar to MMEL1 Membrane metallo-endopeptidase-like 1 (Homo sapiens)
TCAL_13309-PA,Similar to MMEL1 Membrane metallo-endopeptidase-like 1 (Homo sapiens)
TCAL_12236-PA,Similar to Mmel1 Membrane metallo-endopeptidase-like 1 (Mus musculus)
TCAL_07676-PA,Similar to MMP14 Matrix metalloproteinase-14 (Bos taurus)
TCAL_00055-PA,Similar to Mmp14 Matrix metalloproteinase-14 (Mus musculus)
TCAL_12089-PA,Similar to Mmp14 Matrix metalloproteinase-14 (Rattus norvegicus)
TCAL_13422-PA,Similar to MMP17 Matrix metalloproteinase-17 (Homo sapiens)
TCAL_11024-PA,Similar to Mmp25 Matrix metalloproteinase-25 (Mus musculus)
TCAL_13635-PA,Similar to mnb Serine/threonine-protein kinase minibrain (Drosophila melanogaster)
TCAL_04280-PA,Similar to mntH Divalent metal cation transporter MntH (Agrobacterium fabrum (strain C58 / ATCC 33970))
TCAL_07639-PA,Similar to Mnx1 Motor neuron and pancreas homeobox protein 1 (Mus musculus)
TCAL_02227-PA,Similar to Mob1 MOB kinase activator-like 2 (Drosophila pseudoobscura pseudoobscura)
TCAL_06050-PA,Similar to Mob3 MOB kinase activator-like 3 (Drosophila melanogaster)
TCAL_03181-PA,Similar to Mob3a MOB kinase activator 3A (Mus musculus)
TCAL_01181-PA,Similar to Mob4 MOB-like protein phocein (Rattus norvegicus)
TCAL_09393-PA,Similar to mocos Molybdenum cofactor sulfurase (Danio rerio)
TCAL_09593-PA,Similar to MOCS1 Molybdenum cofactor biosynthesis protein 1 (Homo sapiens)
TCAL_09263-PA,Similar to Mocs2 Molybdopterin synthase catalytic subunit (Drosophila yakuba)
TCAL_08314-PA,Similar to Moe Moesin/ezrin/radixin homolog 1 (Culex quinquefasciatus)
TCAL_12631-PA,Similar to Moe Moesin/ezrin/radixin homolog 1 (Culex quinquefasciatus)
TCAL_10267-PA,Similar to MOGAT2 2-acylglycerol O-acyltransferase 2 (Homo sapiens)
TCAL_08910-PA,Similar to Mon1a Vacuolar fusion protein MON1 homolog A (Mus musculus)
TCAL_01657-PA,Similar to mon2 Protein MON2 homolog (Drosophila melanogaster)
TCAL_11353-PA,Similar to Morf4l1 Mortality factor 4-like protein 1 (Rattus norvegicus)
TCAL_10255-PA,Similar to Morn1 MORN repeat-containing protein 1 (Rattus norvegicus)
TCAL_02568-PA,Similar to morn3 MORN repeat-containing protein 3 (Xenopus laevis)
TCAL_01905-PA,Similar to mos Serine/threonine-protein kinase mos (Patiria pectinifera)
TCAL_10783-PA,Similar to Mov10 Putative helicase MOV-10 (Mus musculus)
TCAL_10784-PA,Similar to Mov10 Putative helicase MOV-10 (Mus musculus)
TCAL_00662-PA,Similar to Mov10l1 RNA helicase Mov10l1 (Mus musculus)
TCAL_01893-PA,Similar to MOXD1 DBH-like monooxygenase protein 1 (Homo sapiens)
TCAL_08907-PA,Similar to moxd1 DBH-like monooxygenase protein 1 homolog (Danio rerio)
TCAL_05922-PA,Similar to MP1 Melanization protease 1 (Drosophila melanogaster)
TCAL_07381-PA,Similar to MP1 Melanization protease 1 (Drosophila melanogaster)
TCAL_07512-PA,Similar to MP1 Melanization protease 1 (Drosophila melanogaster)
TCAL_09603-PA,Similar to MP1 Melanization protease 1 (Drosophila melanogaster)
TCAL_11103-PA,Similar to MP1 Melanization protease 1 (Drosophila melanogaster)
TCAL_06699-PA,Similar to Mp20 Muscle-specific protein 20 (Drosophila melanogaster)
TCAL_00503-PA,Similar to MPDZ Multiple PDZ domain protein (Homo sapiens)
TCAL_00870-PA,Similar to Mpg DNA-3-methyladenine glycosylase (Mus musculus)
TCAL_01324-PA,Similar to MPI Mannose-6-phosphate isomerase (Macaca fascicularis)
TCAL_11050-PA,Similar to Mpo Myeloperoxidase (Mus musculus)
TCAL_13143-PA,Similar to Mpo Myeloperoxidase (Mus musculus)
TCAL_01639-PA,Similar to Mpp2 MAGUK p55 subfamily member 2 (Rattus norvegicus)
TCAL_07862-PA,Similar to Mpp5 MAGUK p55 subfamily member 5 (Mus musculus)
TCAL_11987-PA,Similar to MPP5 MAGUK p55 subfamily member 5 (Pongo abelii)
TCAL_03714-PA,Similar to Mpp6 MAGUK p55 subfamily member 6 (Mus musculus)
TCAL_10079-PA,Similar to mpp7 MAGUK p55 subfamily member 7 (Danio rerio)
TCAL_03831-PA,Similar to MPPE1 Metallophosphoesterase 1 (Gallus gallus)
TCAL_16166-PA,Similar to mpv17 Protein Mpv17 (Xenopus laevis)
TCAL_07045-PA,Similar to mpv17l Mpv17-like protein (Xenopus laevis)
TCAL_07134-PA,Similar to mpv17l Mpv17-like protein (Xenopus laevis)
TCAL_07878-PA,Similar to mpv17l Mpv17-like protein (Xenopus laevis)
TCAL_07753-PA,Similar to mpv17l2 Mpv17-like protein 2 (Xenopus tropicalis)
TCAL_00439-PA,Similar to MRC1 Macrophage mannose receptor 1 (Homo sapiens)
TCAL_05685-PA,Similar to MRC1 Macrophage mannose receptor 1 (Homo sapiens)
TCAL_05299-PA,Similar to Mrc1 Macrophage mannose receptor 1 (Mus musculus)
TCAL_10216-PA,Similar to MRG15 NuA4 complex subunit EAF3 homolog (Drosophila melanogaster)
TCAL_07825-PA,"Similar to Mrpl12 39S ribosomal protein L12, mitochondrial (Mus musculus)"
TCAL_00434-PA,"Similar to mRpL13 39S ribosomal protein L13, mitochondrial (Drosophila melanogaster)"
TCAL_00364-PA,"Similar to mrpl14 39S ribosomal protein L14, mitochondrial (Danio rerio)"
TCAL_10558-PA,"Similar to MRPL15 39S ribosomal protein L15, mitochondrial (Gallus gallus)"
TCAL_00605-PA,"Similar to MRPL16 39S ribosomal protein L16, mitochondrial (Bos taurus)"
TCAL_00647-PA,"Similar to mRpL19 39S ribosomal protein L19, mitochondrial (Drosophila melanogaster)"
TCAL_09288-PA,"Similar to Mrpl2 39S ribosomal protein L2, mitochondrial (Mus musculus)"
TCAL_05556-PA,"Similar to MRPL21 39S ribosomal protein L21, mitochondrial (Bos taurus)"
TCAL_00652-PA,"Similar to mRpL24 Probable 39S ribosomal protein L24, mitochondrial (Drosophila pseudoobscura pseudoobscura)"
TCAL_01282-PA,"Similar to Mrpl38 39S ribosomal protein L38, mitochondrial (Rattus norvegicus)"
TCAL_10637-PA,"Similar to mRpL39 39S ribosomal protein L39, mitochondrial (Drosophila melanogaster)"
TCAL_00531-PA,"Similar to MRPL4 39S ribosomal protein L4, mitochondrial (Bos taurus)"
TCAL_12614-PA,"Similar to mrps-5 Putative 28S ribosomal protein S5, mitochondrial (Caenorhabditis elegans)"
TCAL_01318-PA,"Similar to MRPS14 28S ribosomal protein S14, mitochondrial (Bos taurus)"
TCAL_11595-PA,"Similar to Mrps2 28S ribosomal protein S2, mitochondrial (Mus musculus)"
TCAL_09514-PA,"Similar to mRpS7 28S ribosomal protein S7, mitochondrial (Drosophila melanogaster)"
TCAL_03533-PA,"Similar to MRPS9 28S ribosomal protein S9, mitochondrial (Homo sapiens)"
TCAL_05002-PA,"Similar to MRRF Ribosome-recycling factor, mitochondrial (Bos taurus)"
TCAL_12966-PA,Similar to mrs2 Mitochondrial inner membrane magnesium transporter mrs2 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
TCAL_12582-PA,Similar to MSH2 DNA mismatch repair protein Msh2 (Bos taurus)
TCAL_12583-PA,Similar to MSH2 DNA mismatch repair protein Msh2 (Bos taurus)
TCAL_00792-PA,Similar to MSH3 DNA mismatch repair protein Msh3 (Homo sapiens)
TCAL_02035-PA,Similar to MSH4 MutS protein homolog 4 (Homo sapiens)
TCAL_12766-PA,Similar to Msh6 Probable DNA mismatch repair protein Msh6 (Drosophila melanogaster)
TCAL_09092-PA,Similar to msrB Peptide methionine sulfoxide reductase MsrB (Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H))
TCAL_10148-PA,Similar to msrB Peptide methionine sulfoxide reductase MsrB (Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H))
TCAL_10751-PA,Similar to Msrb1 Methionine-R-sulfoxide reductase B1 (Mus musculus)
TCAL_00957-PA,"Similar to msta Protein msta, isoform A (Drosophila melanogaster)"
TCAL_02597-PA,"Similar to msta Protein msta, isoform A (Drosophila melanogaster)"
TCAL_06488-PA,"Similar to msta Protein msta, isoform A (Drosophila melanogaster)"
TCAL_06628-PA,"Similar to msta Protein msta, isoform A (Drosophila melanogaster)"
TCAL_07034-PA,"Similar to msta Protein msta, isoform A (Drosophila melanogaster)"
TCAL_10848-PA,"Similar to msta Protein msta, isoform A (Drosophila melanogaster)"
TCAL_02617-PA,Similar to msto1 Protein misato homolog 1 (Danio rerio)
TCAL_10462-PA,Similar to MSX2 Homeobox protein MSX-2 (Gallus gallus)
TCAL_05656-PA,Similar to Mta1 Metastasis-associated protein MTA1 (Rattus norvegicus)
TCAL_01347-PA,Similar to MTAP S-methyl-5'-thioadenosine phosphorylase (Macaca mulatta)
TCAL_06516-PA,Similar to Mtf1 Metal regulatory transcription factor 1 (Mus musculus)
TCAL_12591-PA,Similar to mtg1 Mitochondrial ribosome-associated GTPase 1 (Ictalurus punctatus)
TCAL_13480-PA,Similar to mth2 G-protein coupled receptor Mth2 (Drosophila simulans)
TCAL_02133-PA,"Similar to MTHFD1 C-1-tetrahydrofolate synthase, cytoplasmic (Homo sapiens)"
TCAL_09669-PA,Similar to mthl10 Probable G-protein coupled receptor Mth-like 10 (Drosophila melanogaster)
TCAL_14297-PA,Similar to mthl10 Probable G-protein coupled receptor Mth-like 10 (Drosophila melanogaster)
TCAL_13790-PA,"Similar to Mtif2 Translation initiation factor IF-2, mitochondrial (Mus musculus)"
TCAL_00726-PA,Similar to MTMR2 Myotubularin-related protein 2 (Homo sapiens)
TCAL_00809-PA,Similar to MTMR3 Myotubularin-related protein 3 (Homo sapiens)
TCAL_00425-PA,Similar to Mtmr6 Myotubularin-related protein 6 (Mus musculus)
TCAL_03939-PA,Similar to Mtmr9 Myotubularin-related protein 9 (Mus musculus)
TCAL_09099-PA,"Similar to MTO1 Protein MTO1 homolog, mitochondrial (Macaca fascicularis)"
TCAL_17141-PA,Similar to MTOR Serine/threonine-protein kinase mTOR (Homo sapiens)
TCAL_07667-PA,"Similar to MTPAP Poly(A) RNA polymerase, mitochondrial (Drosophila melanogaster)"
TCAL_13443-PA,Similar to mtpn Myotrophin (Danio rerio)
TCAL_11459-PA,Similar to MTR Methionine synthase (Bos taurus)
TCAL_12160-PA,Similar to MTRR Methionine synthase reductase (Bos taurus)
TCAL_12164-PA,Similar to MTRR Methionine synthase reductase (Bos taurus)
TCAL_05035-PA,"Similar to mtSSB Single-stranded DNA-binding protein, mitochondrial (Drosophila melanogaster)"
TCAL_07237-PA,Similar to MTX2 Metaxin-2 (Sus scrofa)
TCAL_08681-PA,"Similar to Mut Methylmalonyl-CoA mutase, mitochondrial (Mus musculus)"
TCAL_02406-PA,Similar to Mutyh Adenine DNA glycosylase (Mus musculus)
TCAL_00728-PA,Similar to MVK Mevalonate kinase (Bos taurus)
TCAL_00206-PA,Similar to Mvl Protein Malvolio (Drosophila melanogaster)
TCAL_08256-PA,Similar to Mvl Protein Malvolio (Drosophila melanogaster)
TCAL_10228-PA,Similar to Mxi1 Max-interacting protein 1 (Mus musculus)
TCAL_01644-PA,Similar to MYBL1 Myb-related protein A (Gallus gallus)
TCAL_12251-PA,Similar to MYC Myc protein (Fragment) (Asterias rubens)
TCAL_10156-PA,Similar to MYCBP2 E3 ubiquitin-protein ligase MYCBP2 (Homo sapiens)
TCAL_04032-PA,Similar to MYD88 Myeloid differentiation primary response protein MyD88 (Sus scrofa)
TCAL_02769-PA,Similar to Myef2 Myelin expression factor 2 (Mus musculus)
TCAL_00900-PA,"Similar to MYLK Myosin light chain kinase, smooth muscle (Bos taurus)"
TCAL_01393-PA,"Similar to MYLK Myosin light chain kinase, smooth muscle (Bos taurus)"
TCAL_06022-PA,"Similar to MYLK Myosin light chain kinase, smooth muscle (Fragment) (Ovis aries)"
TCAL_10491-PA,"Similar to MYLK Myosin light chain kinase, smooth muscle (Fragment) (Ovis aries)"
TCAL_09962-PA,"Similar to MYLK Myosin light chain kinase, smooth muscle (Homo sapiens)"
TCAL_03224-PA,"Similar to MYLK Myosin light chain kinase, smooth muscle (Oryctolagus cuniculus)"
TCAL_02263-PA,Similar to MYNN Myoneurin (Homo sapiens)
TCAL_13591-PA,Similar to mynn Myoneurin (Xenopus laevis)
TCAL_08861-PA,Similar to MYO15A Unconventional myosin-XV (Homo sapiens)
TCAL_17260-PA,Similar to MYO18A Unconventional myosin-XVIIIa (Homo sapiens)
TCAL_03274-PA,Similar to Myo1b Unconventional myosin-Ib (Mus musculus)
TCAL_02955-PA,Similar to MYO1F Unconventional myosin-If (Homo sapiens)
TCAL_09439-PA,Similar to Myo31DF Myosin-IA (Drosophila melanogaster)
TCAL_06313-PA,Similar to MYO3A Myosin-IIIa (Homo sapiens)
TCAL_07205-PA,Similar to MYO5A Unconventional myosin-Va (Gallus gallus)
TCAL_13103-PA,Similar to MYO5B Unconventional myosin-Vb (Homo sapiens)
TCAL_03149-PA,Similar to MYO6 Unconventional myosin-VI (Gallus gallus)
TCAL_01120-PA,Similar to myoI Myosin-I heavy chain (Dictyostelium discoideum)
TCAL_03502-PA,Similar to myoM Myosin-M heavy chain (Dictyostelium discoideum)
TCAL_04278-PA,Similar to Myophilin (Echinococcus granulosus)
TCAL_04283-PA,Similar to Myophilin (Echinococcus granulosus)
TCAL_17146-PA,"Similar to Myosin heavy chain, fast skeletal muscle (Cyprinus carpio)"
TCAL_00264-PA,"Similar to Myosin heavy chain, striated muscle (Argopecten irradians)"
TCAL_00001-PA,Similar to Myosin regulatory light chain 2 (Bombyx mori)
TCAL_13776-PA,Similar to Myosin regulatory light chain 2 (Bombyx mori)
TCAL_06251-PA,Similar to MYOT Myotilin (Homo sapiens)
TCAL_07115-PA,Similar to mys Integrin beta-PS (Drosophila melanogaster)
TCAL_12668-PA,Similar to mys Integrin beta-PS (Drosophila melanogaster)
TCAL_03561-PA,Similar to N Neurogenic locus Notch protein (Drosophila melanogaster)
TCAL_06655-PA,Similar to N Neurogenic locus Notch protein (Drosophila melanogaster)
TCAL_00332-PA,Similar to Na(+)/H(+) exchanger beta (Oncorhynchus mykiss)
TCAL_12107-PA,Similar to Na(+)/H(+) exchanger beta (Oncorhynchus mykiss)
TCAL_12108-PA,Similar to Na(+)/H(+) exchanger beta (Oncorhynchus mykiss)
TCAL_00860-PA,Similar to naa20 N-alpha-acetyltransferase 20 (Xenopus tropicalis)
TCAL_05446-PA,"Similar to NAA25 N-alpha-acetyltransferase 25, NatB auxiliary subunit (Homo sapiens)"
TCAL_09217-PA,Similar to Naalad2 N-acetylated-alpha-linked acidic dipeptidase 2 (Mus musculus)
TCAL_01750-PA,Similar to NAALADL1 N-acetylated-alpha-linked acidic dipeptidase-like protein (Homo sapiens)
TCAL_04806-PA,Similar to NAALADL1 N-acetylated-alpha-linked acidic dipeptidase-like protein (Homo sapiens)
TCAL_00842-PA,Similar to nabp2-b SOSS complex subunit B1-B (Xenopus laevis)
TCAL_03818-PA,Similar to Nacalpha Nascent polypeptide-associated complex subunit alpha (Drosophila melanogaster)
TCAL_04353-PA,Similar to nAChRalpha1 Acetylcholine receptor subunit alpha-like 1 (Drosophila melanogaster)
TCAL_11060-PA,Similar to nAChRalpha1 Acetylcholine receptor subunit alpha-like 1 (Drosophila melanogaster)
TCAL_12344-PA,Similar to nAChRalpha1 Acetylcholine receptor subunit alpha-like 1 (Drosophila melanogaster)
TCAL_01326-PA,Similar to nAChRalpha2 Acetylcholine receptor subunit alpha-like 2 (Drosophila melanogaster)
TCAL_04352-PA,Similar to nAChRalpha2 Acetylcholine receptor subunit alpha-like 2 (Drosophila melanogaster)
TCAL_11776-PA,Similar to nAChRalpha2 Acetylcholine receptor subunit alpha-like 2 (Drosophila melanogaster)
TCAL_11476-PA,Similar to nAChRbeta1 Acetylcholine receptor subunit beta-like 1 (Drosophila melanogaster)
TCAL_15812-PA,Similar to nAChRbeta1 Acetylcholine receptor subunit beta-like 1 (Drosophila melanogaster)
TCAL_03441-PA,Similar to nAChRbeta2 Acetylcholine receptor subunit beta-like 2 (Drosophila melanogaster)
TCAL_10190-PA,Similar to nAChRbeta2 Acetylcholine receptor subunit beta-like 2 (Drosophila melanogaster)
TCAL_05364-PA,Similar to NaCP60E Sodium channel protein 60E (Drosophila melanogaster)
TCAL_11851-PA,"Similar to NAD-dependent malic enzyme 59 kDa isoform, mitochondrial (Solanum tuberosum)"
TCAL_05981-PA,Similar to Nadk NAD kinase (Mus musculus)
TCAL_05076-PA,Similar to NAGA Alpha-N-acetylgalactosaminidase (Gallus gallus)
TCAL_11819-PA,Similar to NAGA Alpha-N-acetylgalactosaminidase (Gallus gallus)
TCAL_00003-PA,Similar to NALCN Sodium leak channel non-selective protein (Homo sapiens)
TCAL_02999-PA,Similar to NAP1L1 Nucleosome assembly protein 1-like 1 (Pongo abelii)
TCAL_01913-PA,Similar to nap1l1 Nucleosome assembly protein 1-like 1 (Xenopus tropicalis)
TCAL_00664-PA,"Similar to NARS Asparagine--tRNA ligase, cytoplasmic (Bos taurus)"
TCAL_07109-PA,"Similar to Nars2 Probable asparagine--tRNA ligase, mitochondrial (Mus musculus)"
TCAL_07850-PA,Similar to nas-1 Zinc metalloproteinase nas-1 (Caenorhabditis elegans)
TCAL_04865-PA,Similar to nas-13 Zinc metalloproteinase nas-13 (Caenorhabditis elegans)
TCAL_05538-PA,Similar to nas-14 Zinc metalloproteinase nas-14 (Caenorhabditis elegans)
TCAL_06112-PA,Similar to nas-14 Zinc metalloproteinase nas-14 (Caenorhabditis elegans)
TCAL_01030-PA,Similar to nas-15 Zinc metalloproteinase nas-15 (Caenorhabditis elegans)
TCAL_05235-PA,Similar to nas-4 Zinc metalloproteinase nas-4 (Caenorhabditis elegans)
TCAL_13681-PA,Similar to nas-4 Zinc metalloproteinase nas-4 (Caenorhabditis elegans)
TCAL_15754-PA,Similar to nas-6 Zinc metalloproteinase nas-6 (Caenorhabditis elegans)
